Stock,Exchange,Sector,
Bar Pacific Group Holdings Ltd. (8432),XHKG,Restaurants,
Basetrophy Group Holdings Ltd. (8460),XHKG,Construction,
Bauhaus International (Holdings) Ltd. (483),XHKG,Clothing Retail,
BaWang International (Group) Holding Ltd. (1338),XHKG,Personal Care Products/Appliances,
Bay Area Gold Group Ltd. (1194),XHKG,Gold,
BBMG Corp. (2009),XHKG,Building Materials/Products,
BC Technology Group Ltd. (863),XHKG,Advertising/Marketing/Public Relations,
BCI Group Holdings Ltd. (8412),XHKG,Restaurants,
Beaver Group (Holding) Co. Ltd. (8275),XHKG,Construction,
BeiGene Ltd. (6160),XHKG,Pharmaceuticals,
Beijing Airdoc Technology Co. Ltd. (2251),XHKG,Medical Equipment/Supplies,
Beijing Beida Jade Bird Universal Sci-Tech Co. Ltd. (8095),XHKG,Software,
Beijing Capital Grand Ltd. (1329),XHKG,Real Estate Developers,
Beijing Capital International Airport Co. Ltd. (694),XHKG,Transportation Services,
Beijing Capital Jiaye Property Services Co. Ltd. (2210),XHKG,Real Estate Developers,
Beijing Chunlizhengda Medical Instruments Co. Ltd. (1858),XHKG,Medical Equipment/Supplies,
Beijing Energy International Holding Co. Ltd. (686),XHKG,Construction,
Beijing Enterprises Clean Energy Group Ltd. (1250),XHKG,Renewable Energy Generation,
Beijing Enterprises Environment Group Ltd. (154),XHKG,Environment/Waste Management,
Beijing Enterprises Holdings Ltd. (392),XHKG,Diversified Holding Companies,
Beijing Enterprises Medical & Health Industry Group Ltd. (2389),XHKG,Healthcare Provision,
Beijing Enterprises Urban Resources Group Ltd. (3718),XHKG,Environment/Waste Management,
Beijing Enterprises Water Group Ltd. (371),XHKG,Water Utilities,
Beijing Jingcheng Machinery Electric Co. Ltd. H (187),XHKG,Industrial Machinery,
Beijing Jingkelong Co. Ltd. (814),XHKG,Food Retail,
Beijing Jingneng Clean Energy Co. Ltd. (579),XHKG,Electric Utilities,
Beijing Media Corp. Ltd. (1000),XHKG,Advertising/Marketing/Public Relations,
Beijing North Star Co. Ltd. (588),XHKG,Real Estate Developers,
Beijing Properties (Holdings) Ltd. (925),XHKG,Real Estate Developers,
Beijing Sports & Entertainment Industry Group Ltd. (1803),XHKG,Air Freight,
Beijing Tong Ren Tang Chinese Medicine Co. Ltd. (3613),XHKG,Pharmaceuticals,
Beijing Urban Construction Design & Development Group Co. Ltd. (1599),XHKG,Construction,
BeijingWest Industries International Ltd. (2339),XHKG,Motor Vehicle Parts,
Beng Soon Machinery Holdings Ltd. (1987),XHKG,Construction,
Best Food Holding Co. Ltd. (1488),XHKG,Clothing,
Best Linking Group Holdings Ltd. (8617),XHKG,Industrial Products,
Best Mart 360 Holdings Ltd. (2360),XHKG,Food Retail,
Best Pacific International Holdings Ltd. (2111),XHKG,Clothing,
Besunyen Holdings Co. Ltd. (926),XHKG,Non-Alcoholic Beverages/Drinks,
BetterLife Holding Ltd. (6909),XHKG,Specialty Retail,
BExcellent Group Holdings Ltd. (1775),XHKG,Consumer Services,
BHCC Holding Ltd. (1552),XHKG,Construction,
BII Railway Transportation Technology Holdings Co. Ltd. (1522),XHKG,Software,
Bilibili Inc. (9626),XHKG,Broadcasting,
Billion Industrial Holdings Ltd. (2299),XHKG,Chemicals,
Bingo Group Holdings Ltd. (8220),XHKG,Motion Picture/Sound Recording,
Binhai Investment Co. Ltd. (2886),XHKG,Gas Utilities,
Binjiang Service Group Co. Ltd. (3316),XHKG,Real Estate Developers,
Biosino Bio-Technology & Science Inc. (8247),XHKG,Biotechnology,
Birmingham Sports Holdings Ltd. (2309),XHKG,Recreational Services,
Bison Finance Group Ltd. (888),XHKG,Advertising/Marketing/Public Relations,
Blue Moon Group Holdings Ltd. (6993),XHKG,Nondurable Household Products,
Blue River Holdings Ltd. (498),XHKG,Construction,
BOC Aviation Ltd. (2588),XHKG,General Services,
BOC Hong Kong (Holdings) Ltd. (2388),XHKG,Banking,
BOCOM International Holdings Co. Ltd. (3329),XHKG,Finance Companies,
BOE Varitronix Ltd. (710),XHKG,Industrial Electronics,
Boer Power Holdings Ltd. (1685),XHKG,Industrial Electronics,
Boill Healthcare Holdings Ltd. (1246),XHKG,Real Estate Developers,
Boltek Holdings Ltd. (8601),XHKG,Technical Services,
Bonjour Holdings Ltd. (653),XHKG,Personal Care Products/Appliances,
Bonny International Holding Ltd. (1906),XHKG,Clothing,
Bortex Global Ltd. (8118),XHKG,Industrial Electronics,
BOSA Technology Holdings Ltd. (8140),XHKG,Construction,
Bosideng International Holdings Ltd. (3998),XHKG,Clothing,
Bossini International Holdings Ltd. (592),XHKG,Clothing Retail,
Boyaa Interactive International Ltd. (434),XHKG,Toys & Games,
Brainhole Technology Ltd. (2203),XHKG,Semiconductors,
Bright Future Technology Holdings Ltd. (1351),XHKG,Advertising/Marketing/Public Relations,
Bright Smart Securities & Commodities Group Ltd. (1428),XHKG,Securities,
Brii Biosciences Ltd. (2137),XHKG,Biotechnology,
Brilliant Circle Holdings International Ltd. (1008),XHKG,Containers/Packaging,
Brockman Mining Ltd. (159),XHKG,General Mining,
Broncus Holding Corp. (2216),XHKG,Medical Equipment/Supplies,
Budweiser Brewing Co. APAC Ltd. (1876),XHKG,Alcoholic Beverages/Drinks,
Build King Holdings Ltd. (240),XHKG,Construction,
BYD Co. Ltd. (1211),XHKG,Automobiles,
BYD Electronic (International) Co. Ltd. (285),XHKG,Networking,
C Cheng Holdings Ltd. (1486),XHKG,Construction,
C MER Eye Care Holdings Ltd. (3309),XHKG,Healthcare Provision,
C&D International Investment Group Ltd. (1908),XHKG,Real Estate Developers,
C&D Property Management Group Co. Ltd. (2156),XHKG,Real Estate Developers,
C&N Holdings Ltd. (8430),XHKG,Trucking,
C.Banner International Holdings Ltd. (1028),XHKG,Footwear,
C.P. Pokphand Co. Ltd. (43),XHKG,Food Products,
CA Cultural Technology Group Ltd. (1566),XHKG,Toys & Games,
CAA Resources Ltd. (2112),XHKG,Iron/Steel,
Cabbeen Fashion Ltd. (2030),XHKG,Clothing,
Cafe de Coral Holdings Ltd. (341),XHKG,Restaurants,
CANbridge Pharmaceuticals Inc. (1228),XHKG,Biotechnology,
Canggang Railway Ltd. (2169),XHKG,Railroads,
CanSino Biologics Inc. (6185),XHKG,Pharmaceuticals,
Canvest Environmental Protection Group Co. Ltd. (1381),XHKG,Renewable Energy Generation,
Capinfo Co. Ltd. (1075),XHKG,Computer Services,
Capital Environment Holdings Ltd. (3989),XHKG,Environment/Waste Management,
Capital Estate Ltd. (193),XHKG,Real Estate Developers,
Capital Finance Holdings Ltd. (8239),XHKG,Finance Companies,
Capital VC Ltd. (2324),XHKG,Finance Companies,
Carnival Group International Holdings Ltd. (996),XHKG,Real Estate Developers,
Carpenter Tan Holdings Ltd. (837),XHKG,Personal Care Products/Appliances,
Carrianna Group Holdings Co. Ltd. (126),XHKG,Restaurants,
Carry Wealth Holdings Ltd. (643),XHKG,Clothing,
CARsgen Therapeutics Holdings Ltd. (2171),XHKG,Biotechnology,
Casablanca Group Ltd. (2223),XHKG,Housewares,
CASH Financial Services Group Ltd. (510),XHKG,Securities,
Cathay Media & Education Group Inc. (1981),XHKG,Motion Picture/Sound Recording,
Cathay Pacific Airways Ltd. (293),XHKG,Passenger Airlines,
CBK Holdings Ltd. (8428),XHKG,Restaurants,
CC Land Holdings Ltd. (1224),XHKG,Real Estate Developers,
CCIAM Future Energy Ltd. (145),XHKG,Mortgages,
CCID Consulting Co. Ltd. (2176),XHKG,Diversified Business Services,
CCT Fortis Holdings Ltd. (138),XHKG,Diversified Holding Companies,
CEC International Holdings Ltd. (759),XHKG,Mixed Retailing,
CEFC Hong Kong Financial Investment Co. Ltd. (1520),XHKG,Clothing,
Celestial Asia Securities Holdings Ltd. (1049),XHKG,Toys & Games,
Centenary United Holdings Ltd. (1959),XHKG,Specialty Retail,
Central China Management Co. Ltd. (9982),XHKG,Real Estate Developers,
Central China New Life Ltd. (9983),XHKG,Real Estate Developers,
Central China Real Estate Ltd. (832),XHKG,Real Estate Developers,
Central China Securities Co. Ltd. (1375),XHKG,Securities,
Central Development Holdings Ltd. (475),XHKG,Industrial Electronics,
Central Holding Group Co. Ltd. (1735),XHKG,Construction,
Central Wealth Group Holdings Ltd. (139),XHKG,Finance Companies,
Centurion Corp. Ltd. (6090),XHKG,Hotels,
Century City International Holdings Ltd. (355),XHKG,Real Estate Developers,
Century Entertainment International Holdings Ltd. (959),XHKG,Gambling Industries,
Century Ginwa Retail Holdings Ltd. (162),XHKG,Mixed Retailing,
Century Group International Holdings Ltd. (2113),XHKG,Construction,
Century Legend (Holdings) Ltd. (79),XHKG,Consumer Services,
Century Sage Scientific Holdings Ltd. (1450),XHKG,Broadcasting,
Century Sunshine Group Holdings Ltd. (509),XHKG,Chemicals,
CGN Mining Co. Ltd. (1164),XHKG,Non-Ferrous Metals,
CGN New Energy Holdings Co. Ltd. (1811),XHKG,Electric Utilities,
CGN Power Co. Ltd. (1816),XHKG,Electric Utilities,
Champion Alliance International Holdings Ltd. (1629),XHKG,Paper/Pulp,
Champion Real Estate Investment Trust (2778),XHKG,Industrial/Office REITs,
Champion Technology Holdings Ltd. (92),XHKG,Networking,
Changan Minsheng APLL Logistics Co. Ltd. (1292),XHKG,Transportation Services,
Changhong Jiahua Holdings Ltd. (3991),XHKG,Computers/Consumer Electronics,
Changmao Biochemical Engineering Co. Ltd. (954),XHKG,Chemicals,
Changsha Broad Homes Industrial Group Co. Ltd. (2163),XHKG,Residential Building Construction,
Changyou Alliance Group Ltd. (1039),XHKG,Mixed Retailing,
Chanhigh Holdings Ltd. (2017),XHKG,General Services,
Chanjet Information Technology Co. Ltd. (1588),XHKG,Software,
Channel Micron Holdings Co. Ltd. (2115),XHKG,Building Materials/Products,
Chaoda Modern Agriculture (Holdings) Ltd. (682),XHKG,Farming,
Chaoju Eye Care Holdings Ltd. (2219),XHKG,Healthcare Provision,
Chaowei Power Holdings Ltd. (951),XHKG,Industrial Electronics,
Cheerwin Group Ltd. (6601),XHKG,Nondurable Household Products,
Chen Hsong Holdings Ltd. (57),XHKG,Industrial Machinery,
Chen Lin Education Group Holdings Ltd. (1593),XHKG,Consumer Services,
Chen Xing Development Holdings Ltd. (2286),XHKG,Real Estate Developers,
Chengdu Expressway Co. Ltd. (1785),XHKG,Transportation Services,
Chengdu Putian Telecommunications Cable Co. Ltd. (1202),XHKG,Industrial Electronics,
Cheshi Technology Inc. (1490),XHKG,Advertising/Marketing/Public Relations,
Cheuk Nang (Holdings) Ltd. (131),XHKG,Real Estate Developers,
Chevalier International Holdings Ltd. (25),XHKG,Construction,
Chi Ho Development Holdings Ltd. (8423),XHKG,Construction,
Chi Kan Holdings Ltd. (9913),XHKG,Construction,
Chia Tai Enterprises International Ltd. (3839),XHKG,Pharmaceuticals,
Chiho Environmental Group Ltd. (976),XHKG,Environment/Waste Management,
China 21st Century Education Group Ltd. (1598),XHKG,Consumer Services,
China 33 Media Group Ltd. (8087),XHKG,Advertising/Marketing/Public Relations,
China Aerospace International Holdings Ltd. (31),XHKG,Industrial Electronics,
China Agri-Products Exchange Ltd. (149),XHKG,Wholesalers,
China Aircraft Leasing Group Holdings Ltd. (1848),XHKG,General Services,
China Aluminum Cans Holdings Ltd. (6898),XHKG,Containers/Packaging,
China Aluminum International Engineering Corp. Ltd. (2068),XHKG,Construction,
China Aoyuan Group Ltd. (3883),XHKG,Real Estate Developers,
China Apex Group Ltd. (2011),XHKG,Clothing,
China Art Financial Holdings Ltd. (1572),XHKG,Finance Companies,
China Asia Valley Group Ltd. (63),XHKG,Real Estate Developers,
China Automobile New Retail (Holdings) Ltd. (526),XHKG,Specialty Retail,
China Automotive Interior Decoration Holdings Ltd. (48),XHKG,Motor Vehicle Parts,
China Baoli Technologies Holdings Ltd. (164),XHKG,Networking,
China Beidahuang Industry Group Holdings Ltd. (39),XHKG,Alcoholic Beverages/Drinks,
China Best Group Holding Ltd. (370),XHKG,Wholesalers,
China Beststudy Education Group (3978),XHKG,Consumer Services,
China Binary New Fintech Group (8255),XHKG,Consumer Finance,
China Biotech Services Holdings Ltd. (8037),XHKG,Pharmaceuticals,
China BlueChemical Ltd. (3983),XHKG,Chemicals,
China Bohai Bank Co. Ltd. (9668),XHKG,Banking,
China Boqi Environmental (Holding) Co. Ltd. (2377),XHKG,Environment/Waste Management,
China Boton Group Co. Ltd. (3318),XHKG,Chemicals,
China Bright Culture Group (1859),XHKG,Motion Picture/Sound Recording,
China Brilliant Global Ltd. (8026),XHKG,Clothing Retail,
China Carbon Neutral Development Group Ltd. (1372),XHKG,Construction,
China CBM Group Co. Ltd. (8270),XHKG,Coal,
China Chengtong Development Group Ltd. (217),XHKG,Real Estate Developers,
China Chuanglian Education Financial Group Ltd. (2371),XHKG,Employment/Training Services,
China Chunlai Education Group Co. Ltd. (1969),XHKG,Consumer Services,
China Cinda Asset Management Co. Ltd. (1359),XHKG,Investment Advisors,
China CITIC Bank Corp. Ltd. (998),XHKG,Banking,
China City Infrastructure Group Ltd. (2349),XHKG,Real Estate Developers,
China Coal Energy Co. Ltd. (1898),XHKG,Coal,
China Communications Construction Co. Ltd. (1800),XHKG,Construction,
China Communications Services Corp. Ltd. (552),XHKG,Construction,
China Conch Venture Holdings Ltd. (586),XHKG,Building Materials/Products,
China Construction Bank Corp. (939),XHKG,Banking,
China Creative Digital Entertainment Ltd. (8078),XHKG,Motion Picture/Sound Recording,
China Datang Corp. Renewable Power Co. Ltd. (1798),XHKG,Renewable Energy Generation,
China Daye Non-Ferrous Metals Mining Ltd. (661),XHKG,Non-Ferrous Metals,
China Demeter Financial Investments Ltd. (8120),XHKG,Diversified Holding Companies,
China Development Bank Financial Leasing Co. Ltd. (1606),XHKG,General Services,
China Development Bank International Investment Ltd. (1062),XHKG,Finance Companies,
China Digital Video Holdings Ltd. (8280),XHKG,Software,
China Dili Group (1387),XHKG,Food Retail,
China Ding Yi Feng Holdings Ltd. (612),XHKG,Finance Companies,
China Display Optoelectronics Technology Holdings Ltd. (334),XHKG,Industrial Electronics,
China Dongxiang Group Co. Ltd. (3818),XHKG,Clothing Retail,
China Dredging Environment Protection Holdings Ltd. (871),XHKG,Construction,
China East Education Holdings Ltd. (667),XHKG,Employment/Training Services,
China Eastern Airlines Corp. Ltd. (670),XHKG,Passenger Airlines,
China Eco-Farming Ltd. (8166),XHKG,Diversified Holding Companies,
China Ecotourism Group Ltd. (1371),XHKG,Gambling Industries,
China Education Group Holdings Ltd. (839),XHKG,Consumer Services,
China E-Information Technology Group Ltd. (8055),XHKG,Employment/Training Services,
China Electronics Huada Technology Co. Ltd. (85),XHKG,Semiconductors,
China Electronics Optics Valley Union Holding Co. Ltd. (798),XHKG,Real Estate Developers,
China Energy Development Holdings Ltd. (228),XHKG,Food Retail,
China Energy Engineering Corp. Ltd. (3996),XHKG,Construction,
China Energy International Holdings Ltd. (8132),XHKG,Industrial Electronics,
China Environmental Energy Investment Ltd. (986),XHKG,Wholesalers,
China Environmental Resources Group Ltd. (1130),XHKG,Wholesalers,
China Environmental Technology & Bioenergy Holdings Ltd. (1237),XHKG,Building Materials/Products,
China Environmental Technology Holdings Ltd. (646),XHKG,Wholesalers,
China Ever Grand Financial Leasing Group Co. Ltd. (379),XHKG,General Services,
China Everbright Bank Co. Ltd. (6818),XHKG,Banking,
China Everbright Environment Group Ltd. (257),XHKG,Renewable Energy Generation,
China Everbright Greentech Ltd. (1257),XHKG,Renewable Energy Generation,
China Everbright Ltd. (165),XHKG,Investment Advisors,
China Everbright Water Ltd. (1857),XHKG,Environment/Waste Management,
China Evergrande Group (3333),XHKG,Real Estate Developers,
China Evergrande New Energy Vehicle Group Ltd. (708),XHKG,Automobiles,
China e-Wallet Payment Group Ltd. (802),XHKG,Precision Products,
China Feihe Ltd. (6186),XHKG,Food Products,
China Finance Investment Holdings Ltd. (875),XHKG,Farming,
China Financial International Investments Ltd. (721),XHKG,Finance Companies,
China Financial Leasing Group Ltd. (2312),XHKG,Finance Companies,
China First Capital Group Ltd. (1269),XHKG,Motor Vehicle Parts,
China Foods Ltd. (506),XHKG,Non-Alcoholic Beverages/Drinks,
China Fordoo Holdings Ltd. (2399),XHKG,Clothing,
China Fortune Financial Group Ltd. (290),XHKG,Securities,
China Fortune Holdings Ltd. (110),XHKG,Networking,
China Galaxy Securities Co. Ltd. (6881),XHKG,Securities,
China Gas Holdings Ltd. (384),XHKG,Gas Utilities,
China General Education Group Ltd. (2175),XHKG,Consumer Services,
China Geothermal Industry Development Group Ltd. (8128),XHKG,Industrial Electronics,
China Gingko Education Group Co. Ltd. (1851),XHKG,Consumer Services,
China Glass Holdings Ltd. (3300),XHKG,Industrial Products,
China Gold International Resources Corp. Ltd. (2099),XHKG,Gold,
China Green (Holdings) Ltd. (904),XHKG,Farming,
China Greenland Broad Greenstate Group Co. Ltd. (1253),XHKG,Construction,
China Haisheng Juice Holdings Co. Ltd. (359),XHKG,Non-Alcoholic Beverages/Drinks,
China Hanking Holdings Ltd. (3788),XHKG,Iron/Steel,
China Harmony Auto Holding Ltd. (3836),XHKG,Specialty Retail,
China Health Group Inc. (8225),XHKG,Pharmaceuticals,
China Health Group Ltd. (673),XHKG,Healthcare Provision,
China Healthwise Holdings Ltd. (348),XHKG,Toys & Games,
China High Speed Transmission Equipment Group Co. Ltd. (658),XHKG,Industrial Machinery,
China Hongguang Holdings Ltd. (8646),XHKG,Industrial Products,
China Hongqiao Group Ltd. (1378),XHKG,Aluminum,
China Huajun Group Ltd. (377),XHKG,Transportation Services,
China Huarong Energy Co. Ltd. (1101),XHKG,Water Transport/Shipping,
China Huirong Financial Holdings Ltd. (1290),XHKG,Consumer Finance,
China Industrial Securities International Financial Group Ltd. (6058),XHKG,Securities,
China Information Technology Development Ltd. (8178),XHKG,Software,
China Infrastructure & Logistics Group Ltd. (1719),XHKG,Water Transport/Shipping,
China Infrastructure Investment Ltd. (600),XHKG,Clothing,
China Innovation Investment Ltd. (1217),XHKG,Finance Companies,
China International Capital Corp. Ltd. (3908),XHKG,Investment Advisors,
China International Development Corp. Ltd. (264),XHKG,Clothing,
China International Marine Containers (Group) Ltd. (2039),XHKG,Commercial Vehicles,
China Internet Investment Finance Holdings Ltd. (810),XHKG,Finance Companies,
China Investment & Finance Group Ltd. (1226),XHKG,Finance Companies,
China Investment Development Ltd. (204),XHKG,Finance Companies,
China Investments Holdings Ltd. (132),XHKG,Building Materials/Products,
China Isotope & Radiation Corp. (1763),XHKG,Pharmaceuticals,
